sequence,road_group,lanes_per_direction,total_lanes,traffic_level,num_vehicles,flow_rate_vph_per_lane,spawn_headway_min_sec,spawn_headway_max_sec,initial_bumper_gap_min_m,initial_bumper_gap_max_m,global_min_speed_kmh,global_max_speed_kmh,fps,duration_sec,seed
R1_3lane_L1,R1,3,6,L1,18,300.0,5.0,12.0,24.0,45.0,36.0,76.0,30,60.0,7
R1_3lane_L2,R1,3,6,L2,30,450.0,3.5,9.5,18.0,35.0,34.0,74.0,30,60.0,7
R1_3lane_L3,R1,3,6,L3,42,700.0,2.5,8.0,12.0,28.0,32.0,72.0,30,60.0,7
R1_3lane_L4,R1,3,6,L4,58,960.0,1.6,5.2,7.0,18.0,26.0,62.0,30,60.0,7
R1_3lane_L5,R1,3,6,L5,66,1100.0,1.3,4.6,6.5,15.0,24.0,58.0,30,60.0,7
R2_5lane_L1,R2,5,10,L1,30,300.0,5.0,12.0,24.0,45.0,36.0,76.0,30,60.0,7
R2_5lane_L2,R2,5,10,L2,50,450.0,3.5,9.5,18.0,35.0,34.0,74.0,30,60.0,7
R2_5lane_L3,R2,5,10,L3,70,700.0,2.5,8.0,12.0,28.0,32.0,72.0,30,60.0,7
R2_5lane_L4,R2,5,10,L4,90,900.0,1.8,5.8,8.0,20.0,28.0,66.0,30,60.0,7
R2_5lane_L5,R2,5,10,L5,110,1100.0,1.3,4.6,6.5,15.0,24.0,58.0,30,60.0,7
R3_7lane_L1,R3,7,14,L1,42,300.0,5.0,12.0,24.0,45.0,36.0,76.0,30,60.0,7
R3_7lane_L2,R3,7,14,L2,70,450.0,3.5,9.5,18.0,35.0,34.0,74.0,30,60.0,7
R3_7lane_L3,R3,7,14,L3,98,700.0,2.5,8.0,12.0,28.0,32.0,72.0,30,60.0,7
R3_7lane_L4,R3,7,14,L4,126,900.0,1.8,5.8,8.0,20.0,28.0,66.0,30,60.0,7
R3_7lane_L5,R3,7,14,L5,154,1100.0,1.3,4.6,6.5,15.0,24.0,58.0,30,60.0,7
