sequence,road_group,lanes_per_direction,total_lanes,traffic_level,frames,fps,width,height,duration_sec,gt_box_count,vehicle_id_count,mean_objects_per_frame,max_objects_per_frame,validation_passed
R1_3lane_L1,R1,3,6,L1,1800,30,1980,1020,60.0,10054,56,5.5856,17,True
R1_3lane_L2,R1,3,6,L2,1800,30,1980,1020,60.0,14526,70,8.0700,18,True
R1_3lane_L3,R1,3,6,L3,1800,30,1980,1020,60.0,22237,94,12.3539,22,True
R1_3lane_L4,R1,3,6,L4,1800,30,1980,1020,60.0,34103,128,18.9461,28,True
R1_3lane_L5,R1,3,6,L5,1800,30,1980,1020,60.0,38099,140,21.1661,29,True
R2_5lane_L1,R2,5,10,L1,1800,30,1980,1020,60.0,18177,95,10.0983,27,True
R2_5lane_L2,R2,5,10,L2,1800,30,1980,1020,60.0,25004,122,13.8911,30,True
R2_5lane_L3,R2,5,10,L3,1800,30,1980,1020,60.0,31499,153,17.4994,36,True
R2_5lane_L4,R2,5,10,L4,1800,30,1980,1020,60.0,47253,193,26.2517,40,True
R2_5lane_L5,R2,5,10,L5,1800,30,1980,1020,60.0,60849,223,33.8050,49,True
R3_7lane_L1,R3,7,14,L1,1800,30,1980,1020,60.0,24474,133,13.5967,38,True
R3_7lane_L2,R3,7,14,L2,1800,30,1980,1020,60.0,33927,168,18.8483,43,True
R3_7lane_L3,R3,7,14,L3,1800,30,1980,1020,60.0,45231,218,25.1283,51,True
R3_7lane_L4,R3,7,14,L4,1800,30,1980,1020,60.0,69690,289,38.7167,56,True
R3_7lane_L5,R3,7,14,L5,1800,30,1980,1020,60.0,78523,308,43.6239,69,True
